collection_id,instance_index,machine_id,start_time,end_time,max_cpus,max_memory
330587220407,344,55052448740,1201000000,1497000000,0.12890625,0.019989013671875
330587133435,180,93509986219,1201000000,1254000000,0.0109100341796875,0.0009784698486328125
374998574688,117,74472327133,1201000000,1500000000,0.00458526611328125,0.001010894775390625
374911141136,637,21389242,1201000000,1202000000,0.0,5.7220458984375e-06
330587209928,119,92152625154,1201000000,1202000000,0.0,9.5367431640625e-07
90961159812,51,71882314328,1201000000,1211000000,0.15673828125,0.05859375
348020181297,3,1575343155,1201000000,1202000000,0.0,9.5367431640625e-07
358887942275,199,72041476039,1201000000,1500000000,0.04339599609375,0.0013980865478515625
330587233025,621,53819601013,1201000000,1493000000,0.146240234375,0.015380859375
330587170473,273,24274894286,1201000000,1284000000,0.0082550048828125,0.00322723388671875
375007002965,0,32428661,1201000000,1202000000,0.0,0.00047397613525390625
330587162970,230,72045702658,1201000000,1203000000,0.0,0.0001201629638671875
330587217906,0,22620985,1201000000,1203000000,0.0003490447998046875,9.5367431640625e-07
330587204926,526,86167669272,1201000000,1499000000,0.0887451171875,0.0234375
374911141136,1378,104792817025,1201000000,1500000000,0.00469970703125,0.0007076263427734375
330587165471,485,4512111771,1201000000,1255000000,0.0125579833984375,0.0009288787841796875
374911141136,558,24274894286,1201000000,1202000000,0.0,1.1444091796875e-05
375002842854,467,2960528268,1201000000,1203000000,0.00420379638671875,1.430511474609375e-05
34042849383,488,93522167453,1201000000,1202000000,0.0,9.5367431640625e-07
374911141136,1015,24274426011,1201000000,1274000000,0.0011577606201171875,0.0005035400390625
374911141136,1330,53819601013,1201000000,1205000000,0.0008068084716796875,0.00062465667724609375
330587141000,695,104792404000,1201000000,1202000000,1.9073486328125e-06,1.430511474609375e-05
375004988941,0,86189850177,1201000000,1206000000,0.0,0.00223541259765625
330587152966,588,71970761936,1201000000,1500000000,0.0732421875,0.0120086669921875
374909862629,202,373216008407,1201000000,1372000000,0.0051422119140625,0.00082874298095703125
360229359315,17,1146043083,1201000000,1205000000,0.0004749298095703125,9.5367431640625e-06
358200954773,1,32971570779,1201000000,1204000000,0.0002193450927734375,0.0010623931884765625
347383176577,10,35970848854,1201000000,1500000000,0.283203125,0.00615692138671875
330587110827,67,24273428028,1201000000,1284000000,0.0121917724609375,0.00318145751953125
374471438640,381,374585344489,1201000000,1275000000,0.0013637542724609375,0.0005970001220703125
374911141136,1429,102893768923,1201000000,1376000000,0.006622314453125,0.00036907196044921875
