collection_id,instance_index,machine_id,start_time,end_time,max_cpus,max_memory
330587209928,119,92152625154,1201000000,1202000000,0.0,9.5367431640625e-07
374909862629,86,86197413815,1201000000,1256000000,0.0026702880859375,0.0008411407470703
348020181306,3,13260019614,1201000000,1216000000,0.0053634643554687,0.0003833770751953
374911141136,1265,74472327133,1201000000,1800000000,0.004425048828125,0.0005340576171875
348020181306,4,21560261,1201000000,1205000000,0.0002670288085937,6.67572021484375e-05
374471438640,664,35872595645,1201000000,1202000000,0.0,9.1552734375e-05
360229374112,10,23744454675,1201000000,1206000000,0.0,1.621246337890625e-05
348020181306,6,90883270211,1201000000,1227000000,0.017303466796875,0.0003948211669921
374780821309,1826,72045702658,1201000000,1800000000,0.0875244140625,0.016265869140625
360229359315,17,1146043083,1201000000,1205000000,0.0004749298095703,9.5367431640625e-06
374909862629,199,373220226718,1201000000,1450000000,0.00372314453125,0.0008506774902343
374909862629,200,159596203493,1201000000,1460000000,0.0028572082519531,0.0008544921875
374909862629,202,373216008407,1201000000,1380000000,0.0051422119140625,0.000828742980957
330587162970,230,72045702658,1201000000,1203000000,0.0,0.0001201629638671
330587141000,695,104792404000,1201000000,1202000000,1.9073486328125e-06,1.430511474609375e-05
374911141136,67,105123342775,1201000000,1800000000,0.0065460205078125,0.0006237030029296
374911141136,72,80677373859,1201000000,1210000000,0.0004749298095703,0.000472068786621
350880622709,0,70772743337,1201000000,1800000000,0.0043106079101562,0.0006666183471679
375003929494,267,70538076410,1201000000,1800000000,0.0063934326171875,0.0010929107666015
330587238433,490,105124143932,1201000000,1447000000,0.010955810546875,0.0006637573242187
348020181297,3,1575343155,1201000000,1217000000,0.0043716430664062,0.0003728866577148
348020181279,7,62155176,1201000000,1204000000,0.0002374649047851,6.580352783203125e-05
330587272057,654,96916043191,1201000000,1214000000,0.0006675720214843,0.0006513595581054
348020181279,3,92148961277,1201000000,1204000000,0.0002737045288085,6.580352783203125e-05
330587125888,694,53769870649,1201000000,1800000000,0.6064453125,0.01971435546875
330587133435,180,93509986219,1201000000,1800000000,0.093994140625,0.010498046875
374909856633,722,23744688102,1201000000,1204000000,0.0007896423339843,9.632110595703124e-05
374911141136,1414,80675819223,1201000000,1465000000,0.005096435546875,0.0004959106445312
374911141136,1412,2457915991,1201000000,1800000000,0.0058059692382812,0.0004358291625976
374911141136,1402,75629300492,1201000000,1769000000,0.0033912658691406,0.0005788803100585
374471438640,255,92140167671,1201000000,1206000000,0.0002813339233398,0.0004520416259765
375004987196,0,92130754153,1201000000,1207000000,0.0038185119628906,0.0008955001831054
374911141136,1388,199649547176,1201000000,1228000000,0.0027618408203125,0.0006017684936523
86261339189,1,80678690089,1201000000,1202000000,0.0,1.9073486328125e-06
374911141136,1378,104792817025,1201000000,1589000000,0.00469970703125,0.0007076263427734
330587118384,119,92152625154,1201000000,1203000000,1.9073486328125e-06,0.0003042221069335
34042849383,488,93522167453,1201000000,1800000000,0.0026054382324218,0.000920295715332
374911141136,1373,80677373859,1201000000,1212000000,0.000533103942871,0.0003509521484375
347383176577,10,35970848854,1201000000,1722000000,0.283203125,0.0077743530273437
347383176577,11,10879533757,1201000000,1612000000,0.40234375,0.0063247680664062
347383176577,13,265359162690,1201000000,1480000000,0.7109375,0.00555419921875
374911141136,1330,53819601013,1201000000,1208000000,0.0008068084716796,0.000624656677246
330587152966,588,71970761936,1201000000,1607000000,0.0732421875,0.0120086669921875
348020181279,0,21372225,1201000000,1214000000,0.0058670043945312,0.0003786087036132
330587165471,485,4512111771,1201000000,1258000000,0.0125579833984375,0.0009288787841796
319945203635,1858,21307910,1201000000,1206000000,0.0011234283447265,0.000472068786621
212047477406,1446,1578632587,1201000000,1800000000,0.0102996826171875,0.0007076263427734
330587217906,468,53771542298,1201000000,1500000000,0.1123046875,0.021240234375
374911141136,924,2458245374,1201000000,1800000000,0.00823974609375,0.0004892349243164
375007011738,0,92044810499,1201000000,1267000000,0.190185546875,0.0022163391113281
330587262052,356,21242380,1201000000,1203000000,0.0,1.9073486328125e-06
358887942275,199,72041476039,1201000000,1800000000,0.0712890625,0.0013980865478515
374911141136,558,24274894286,1201000000,1202000000,0.0,1.1444091796875e-05
330587240934,300,24270682913,1201000000,1221000000,0.0029029846191406,0.0009269714355468
276507686897,52,73747258778,1201000000,1228000000,0.0029563903808593,0.0012588500976562
276507686897,53,92073836143,1201000000,1226000000,0.0010929107666015,0.001230239868164
374590363514,298,71982846043,1201000000,1202000000,0.0,2.09808349609375e-05
374911141136,579,4459153593,1201000000,1202000000,0.0,0.0001430511474609
374911141136,637,21389242,1201000000,1202000000,0.0,5.7220458984375e-06
358887942275,242,70620014404,1201000000,1202000000,0.0,1.71661376953125e-05
374860215787,40,24270932154,1201000000,1266000000,0.0013484954833984,0.0012931823730468
375002842854,467,2960528268,1201000000,1204000000,0.0042037963867187,1.430511474609375e-05
358887942275,305,92052562352,1201000000,1202000000,2.86102294921875e-06,2.47955322265625e-05
280487004463,0,4451526934,1201000000,1205000000,0.0007591247558593,0.0004310607910156
