collection_id,instance_index,machine_id,start_time,end_time,max_cpus,max_memory,value
299950261447,3425,10512314194,1175000000,1200000000,0.00630950927734375,0.0006074905395507812,78
299950267134,2794,2004298141,1152000000,1200000000,0.00527191162109375,0.0014514923095703125,60
300629845572,0,10576646476,1127000000,1149000000,0.0059814453125,0.000698089599609375,79
300628723138,213,2004262530,924000000,1200000000,0.03375244140625,0.00020503997802734375,58
300502419114,226,1691278,1159000000,1200000000,0.0074005126953125,0.001087188720703125,24
261561495314,173,-1,990000000,1200000000,0.00927734375,0.003688812255859375,73
261561515322,177,-1,1049000000,1200000000,0.0101318359375,0.00202178955078125,22
299950267515,638,1510324832,1156000000,1200000000,0.00672149658203125,0.0010814666748046875,75
299950261447,3609,10625481457,1171000000,1200000000,0.0082855224609375,0.0003719329833984375,62
299950233117,777,10539034713,1187000000,1200000000,0.00495147705078125,0.0007305145263671875,85
299950267391,1269,1887932309,1129000000,1200000000,0.05145263671875,0.0078125,7
298636906274,1530,8655232937,966000000,1200000000,0.004180908203125,0.00115203857421875,80
299950282815,326,10467017998,912000000,1200000000,0.00453948974609375,0.0004901885986328125,39
300630916429,0,191257359328,1179000000,1191000000,0.00579833984375,0.0006914138793945312,81
298636906274,898,10507521563,903000000,1200000000,0.0042877197265625,0.0011692047119140625,79
299950261478,6488,163607097555,1183000000,1200000000,0.008209228515625,0.000499725341796875,36
261561500316,299,182564466121,1048000000,1200000000,0.0095977783203125,0.00385284423828125,40
299950268070,285,182136365027,1132000000,1200000000,0.008514404296875,0.0005884170532226562,7
299950268070,299,10624318247,1132000000,1200000000,0.0078582763671875,0.0005826950073242188,20
299950285958,6146,1229839458,950000000,1175000000,0.002960205078125,0.0011577606201171875,28
299950282965,12710,206812196307,937000000,1200000000,0.00445556640625,0.0011730194091796875,35
299950261478,5424,153276721173,1189000000,1200000000,0.00421905517578125,0.0008478164672851562,3
261561502817,290,-1,1123000000,1200000000,0.0082855224609375,0.00376129150390625,2
299950260553,5379,10503687448,1173000000,1200000000,0.01556396484375,0.0006513595581054688,11
261561495314,303,182136337238,1050000000,1200000000,0.0103759765625,0.003841400146484375,31
299950261478,5617,1009380768,1190000000,1200000000,0.003360748291015625,0.0008440017700195312,16
299950233111,975,148038876716,1146000000,1200000000,0.004608154296875,0.0012035369873046875,32
299950236433,660,287061039409,1034000000,1200000000,0.0350341796875,0.001079559326171875,82
299950267134,2650,4091947825,1155000000,1200000000,0.00576019287109375,0.001476287841796875,94
299950283293,41,10114234593,994000000,1200000000,0.00470733642578125,0.0011444091796875,82
299950267436,218,10367665995,1155000000,1200000000,0.0075225830078125,0.000682830810546875,93
261561467599,403,-1,1163000000,1200000000,0.009735107421875,0.0009593963623046875,86
299950282965,11808,8663735513,932000000,1200000000,0.00357818603515625,0.00113677978515625,90
299950282965,12545,3110425334,932000000,1200000000,0.00412750244140625,0.00115203857421875,7
299950282965,12743,8652638489,932000000,1200000000,0.00562286376953125,0.0006628036499023438,21
299950267391,841,191905197829,1150000000,1200000000,0.067138671875,0.0078125,39
202130124356,699,300335643784,1035000000,1200000000,0.241455078125,0.023223876953125,29
299950260553,5214,176154136659,1170000000,1200000000,0.005462646484375,0.001155853271484375,42
299950261447,2979,156350999353,1112000000,1200000000,0.05474853515625,0.001033782958984375,23
299950267134,3109,162165082875,1154000000,1200000000,0.00628662109375,0.0014743804931640625,17
299950261447,2608,148012428506,1112000000,1200000000,0.04266357421875,0.00107574462890625,34
299950261478,5362,123180703559,1188000000,1200000000,0.003459930419921875,0.000843048095703125,5
261561500316,226,192419872141,1052000000,1200000000,0.0141754150390625,0.003849029541015625,86
261561502817,265,-1,1122000000,1200000000,0.0089874267578125,0.003570556640625,48
299950260553,5091,216840516530,1173000000,1200000000,0.00432586669921875,0.0009860992431640625,61
261561505318,612,-1,1190000000,1200000000,0.009735107421875,0.0006465911865234375,37
261561507819,167,-1,1069000000,1200000000,0.00885009765625,0.0019989013671875,81
299950285958,6515,1970138905,949000000,1102000000,0.00433349609375,0.0011653900146484375,42
300502421518,128,156757147086,983000000,1200000000,0.004150390625,0.001163482666015625,89
299950233117,578,176136866011,1124000000,1200000000,0.00431060791015625,0.0007543563842773438,44
299950268040,1399,10518126105,1144000000,1200000000,0.00449371337890625,0.0009393692016601562,37
299950261447,3775,176141955879,1171000000,1200000000,0.0059356689453125,0.0003490447998046875,41
300628707108,71,1231051781,964000000,985000000,0.0041046142578125,0.0005197525024414062,20
299950236380,1150,178304388963,1155000000,1200000000,0.0048828125,0.0007638931274414062,4
299950287848,670,1512158776,904000000,1200000000,0.00539398193359375,0.0007429122924804688,20
299950285958,5780,259004776807,951000000,1176000000,0.03460693359375,0.00133514404296875,72
451544768,1112,148912331995,991000000,1200000000,0.00276947021484375,0.0001239776611328125,20
261561505318,519,-1,1189000000,1200000000,0.003147125244140625,0.0005474090576171875,22
299950282965,12761,10367690503,931000000,1200000000,0.0035247802734375,0.0011272430419921875,35
299950261478,6185,299138987506,1188000000,1200000000,0.0035247802734375,0.0008525848388671875,88
300629816784,0,191257359328,1060000000,1074000000,0.005950927734375,0.0006999969482421875,28
299950285958,5689,176130710289,952000000,1174000000,0.00431060791015625,0.0011386871337890625,96
299950236380,765,148014467938,1084000000,1200000000,0.00691986083984375,0.000858306884765625,9
299950285958,5720,231847278951,954000000,1177000000,0.004608154296875,0.00116729736328125,87
261561465098,522,270678067250,1185000000,1200000000,0.0061798095703125,0.0008754730224609375,37
299950282965,11386,205694633937,932000000,1200000000,0.0071563720703125,0.000659942626953125,70
298636906274,1580,10466976203,964000000,1200000000,0.0043792724609375,0.0011692047119140625,68
299950261447,3441,182146429129,1177000000,1200000000,0.0054779052734375,0.0005388259887695312,25
299950261447,3942,272584055956,1175000000,1200000000,0.00368499755859375,0.0005283355712890625,36
299950261478,4868,158381956522,1182000000,1200000000,0.0080108642578125,0.00052642822265625,97
299950267391,1024,10367641170,1130000000,1200000000,0.04302978515625,0.0078125,29
261561515322,176,-1,981000000,1200000000,0.0088958740234375,0.0037841796875,79
261561485131,511,-1,1186000000,1200000000,0.0090179443359375,0.0009593963623046875,80
299950261478,3651,10503301403,1125000000,1200000000,0.0048980712890625,0.0009412765502929688,1
261561495314,597,-1,1195000000,1200000000,0.00234222412109375,9.822845458984375e-05,9
300628707108,134,178294777811,964000000,990000000,0.003543853759765625,0.0005636215209960938,37
299950282965,13472,1230325328,931000000,1185000000,0.00396728515625,0.0008096694946289062,76
299950289289,105,3465867818,935000000,1200000000,0.004150390625,0.000701904296875,17
299950261478,4601,8663825358,1189000000,1200000000,0.00461578369140625,0.0006551742553710938,92
300502419114,229,1887851351,1155000000,1200000000,0.002750396728515625,0.00116729736328125,92
299950285958,5452,300335684661,950000000,1200000000,0.003612518310546875,0.0011615753173828125,100
